Словоформа:'и' Частота:725 IPM:45272
Словоформа:'в' Частота:553 IPM:34532
Словоформа:'не' Частота:246 IPM:15361
Словоформа:'на' Частота:223 IPM:13925
Словоформа:'с' Частота:221 IPM:13800
Словоформа:'она' Частота:167 IPM:10428
Словоформа:'он' Частота:150 IPM:9366
Словоформа:'ее' Частота:141 IPM:8804
Словоформа:'что' Частота:127 IPM:7930
Словоформа:'к' Частота:126 IPM:7868
Словоформа:'как' Частота:107 IPM:6681
Словоформа:'то' Частота:100 IPM:6244
Словоформа:'все' Частота:94 IPM:5869
Словоформа:'из' Частота:91 IPM:5682
Словоформа:'а' Частота:89 IPM:5557
Словоформа:'его' Частота:77 IPM:4808
Словоформа:'по' Частота:77 IPM:4808
Словоформа:'роберт' Частота:76 IPM:4745
Словоформа:'было' Частота:75 IPM:4683
Словоформа:'викторович' Частота:73 IPM:4558
Словоформа:'но' Частота:70 IPM:4371
Словоформа:'от' Частота:68 IPM:4246
Словоформа:'сонечка' Частота:64 IPM:3996
Словоформа:'это' Частота:58 IPM:3621
Словоформа:'была' Частота:56 IPM:3496
Словоформа:'за' Частота:56 IPM:3496
Словоформа:'о' Частота:56 IPM:3496
Словоформа:'яся' Частота:52 IPM:3247
Словоформа:'был' Частота:43 IPM:2685
Словоформа:'для' Частота:43 IPM:2685
Словоформа:'ей' Частота:43 IPM:2685
Словоформа:'у' Частота:42 IPM:2622
Словоформа:'же' Частота:41 IPM:2560
Словоформа:'соня' Частота:40 IPM:2497
Словоформа:'ни' Частота:39 IPM:2435
Словоформа:'до' Частота:38 IPM:2372
Словоформа:'еще' Частота:36 IPM:2248
Словоформа:'уже' Частота:35 IPM:2185
Словоформа:'когда' Частота:34 IPM:2123
Словоформа:'таня' Частота:34 IPM:2123
Словоформа:'были' Частота:33 IPM:2060
Словоформа:'они' Частота:33 IPM:2060
Словоформа:'так' Частота:32 IPM:1998
Словоформа:'ему' Частота:29 IPM:1810
Словоформа:'их' Частота:29 IPM:1810
Словоформа:'я' Частота:29 IPM:1810
Словоформа:'где' Частота:28 IPM:1748
Словоформа:'нее' Частота:27 IPM:1686
Словоформа:'под' Частота:27 IPM:1686
Словоформа:'своей' Частота:26 IPM:1623
Словоформа:'во' Частота:25 IPM:1561
Словоформа:'только' Частота:25 IPM:1561
Словоформа:'эти' Частота:25 IPM:1561
Словоформа:'бы' Частота:24 IPM:1498
